id;madre;padre;abuelo_paterno;abuelo_materno;abuela_paterna;abuela_materna
1;Small Cotton Mouse;Bedfordshire South Carolina hacking;compress;vortals Concrete;Fantastic Soft Pizza;synthesize
2;out-of-the-box Rustic Cotton Pants Indiana;integrated Coordinator Rapid;Nuevo Sol;payment Architect;Villages Movies;RAM web-enabled
3;optimize;virtual Practical Wooden Computer Jewelery;feed Fantastic;Movies reboot;viral Engineer Kuwait;Namibia Table Armenian Dram
4;compelling Assurance;Jewelery TCP Lead;payment Port Executive;Chief CSS;Practical;intermediate Swedish Krona
5;Principal index neutral;solid state Rubber Credit Card Account;virtual;Hat connect Jewelery;Lek;Practical
6;Fundamental Iowa;Mandatory applications;virtual Expressway Jewelery;Books interface transparent;back-end South Dakota Designer;SMTP Up-sized
7;red plug-and-play;Sleek Concrete Chips Borders Incredible;Sausages;New Leu Representative neural;Chair;holistic cross-media
8;grey customer loyalty;Dong;Western Sahara Adaptive invoice;Congolese Franc Forest Executive;Business-focused ADP National;payment Indian Rupee Ngultrum
9;Programmable Cambridgeshire Markets;Officer;Tasty success world-class;CFA Franc BCEAO Legacy;New Hampshire;virtual PNG Soap
10;Borders Grocery payment;applications Codes specifically reserved for testing purposes Tools;Jewelery driver quantify;copying Rustic Underpass;Hat;Profound HTTP
